ClusterID;ClusterName;Cores;Speed;Memory;numberOfHosts;memoryCapacityPerHost;coreCountPerHost
A1;A1;0;3.54;0;380;132;1
A2;A2;0;3.47;0;209;132;2
A3;A3;0;3.37;0;1;132;3
A4;A4;0;3.56;0;146;132;4
A6;A6;0;3.34;0;9;132;6
A8;A8;0;3.34;0;58;132;8
A12;A12;0;3.56;0;2;132;12
A16;A16;0;3.34;0;11;132;16
A24;A24;0;3.27;0;1;132;24
A32;A32;0;3.37;0;2;132;32
