ClusterID;ClusterName;Cores;Speed;Memory;numberOfHosts;memoryCapacityPerHost;coreCountPerHost
A1;A1;0;3.33;0;365;132;1
A2;A2;0;3.27;0;201;132;2
A3;A3;0;3.18;0;1;132;3
A4;A4;0;3.35;0;140;132;4
A6;A6;0;3.14;0;8;132;6
A8;A8;0;3.15;0;56;132;8
A12;A12;0;3.35;0;2;132;12
A16;A16;0;3.15;0;10;132;16
A24;A24;0;3.07;0;1;132;24
A32;A32;0;3.18;0;2;132;32
